Installed Packages
ncurses-libs.riscv64               6.2-9.20210508.an8   @koji-an8f36-build-12516
net-tools.riscv64                  2.0-0.61.20160912git.an8
                                                        @koji-an8f36-build-12516
nettle.riscv64                     3.7.3-3.an8          @koji-an8f36-build-12516
nftables.riscv64                   1:1.0.1-3.an8        @koji-an8f36-build-12516
npth.riscv64                       1.6-8.an8            @koji-an8f36-build-12516
openldap.riscv64                   2.6.1-2.an8          @koji-an8f36-build-12516
openldap-compat.riscv64            2.6.1-2.an8          @koji-an8f36-build-12516
openssh.riscv64                    8.8p1-1.1.an8.1      @koji-an8f36-build-12516
openssh-clients.riscv64            8.8p1-1.1.an8.1      @koji-an8f36-build-12516
openssh-server.riscv64             8.8p1-1.1.an8.1      @koji-an8f36-build-12516
openssl-libs.riscv64               1:1.1.1l-2.0.riscv64.an8
                                                        @koji-an8f36-build-12516
openssl-pkcs11.riscv64             0.4.11-8.an8         @koji-an8f36-build-12516
p11-kit.riscv64                    0.24.1-2.an8         @koji-an8f36-build-12516
p11-kit-trust.riscv64              0.24.1-2.an8         @koji-an8f36-build-12516
pam.riscv64                        1.5.2-10.an8         @koji-an8f36-build-12516
parted.riscv64                     3.4-12.an8           @koji-an8f36-build-12516
passwd.riscv64                     0.80-12.an8          @koji-an8f36-build-12516
pcre.riscv64                       8.45-1.an8.1         @koji-an8f36-build-12516
pcre2.riscv64                      10.39-1.an8.1        @koji-an8f36-build-12516
pcre2-syntax.noarch                10.39-1.an8.1        @koji-an8f36-build-12516
pcsc-lite.riscv64                  1.9.5-2.an8          @koji-an8f36-build-12516
pcsc-lite-ccid.riscv64             1.5.0-1.an8          @koji-an8f36-build-12516
pcsc-lite-libs.riscv64             1.9.5-2.an8          @koji-an8f36-build-12516
pigz.riscv64                       2.6-2.an8            @koji-an8f36-build-12516
pinentry.riscv64                   1.2.0-2.an8          @koji-an8f36-build-12516
plymouth.riscv64                   0.9.5-5.20210331git1ea1020.an8
                                                        @koji-an8f36-build-12516
plymouth-core-libs.riscv64         0.9.5-5.20210331git1ea1020.an8
                                                        @koji-an8f36-build-12516
